Category,Brand,Ordered_total,Orders_total_dynamics,Products_ordered,Average_price,Average_price_dynamics,Number_of_sellers,Number_of_clusters,Redeemed_orders_share,Share_in_category
18+_Confectionery_Products,Chocolovers,2945518,4.27,5246,561,0.74,1,26,0.902,0.171
18+_Confectionery_Products,Фабрика страсти,2830515,5.55,11166,253,0.03,6,27,0.933,0.1639999999999999
18+_Confectionery_Products,DaroLand,1502644,0.07,2814,534,0.2,1,25,0.91,0.087
18+_Confectionery_Products,ДА Шоколад,1485161,0.17,1977,751,0.22,2,24,0.931,0.086
18+_Confectionery_Products,Волшебные сказки,1212078,0.43,1873,647,0.3,1,26,0.94,0.07
18+_Confectionery_Products,Суровый русский шоколад,851121,0.28,1107,769,0.53,1,25,0.937,0.049
18+_Confectionery_Products,Choco Corp,766618,0.0,475,1614,0.0,1,21,0.922,0.044
18+_Confectionery_Products,Бренд отсутствует,734481,-0.14,1583,464,0.14,46,26,0.88,0.043
18+_Confectionery_Products,DA CHOCOLATE,651594,1.01,662,984,0.37,2,20,0.915,0.038
18+_Confectionery_Products,ШокоПольза,490996,2.7,1078,455,0.07,1,24,0.916,0.0279999999999999
18+_Confectionery_Products,CandyMood,448128,0.0,732,612,0.0,1,22,0.915,0.026
18+_Confectionery_Products,Казанова 69,416776,42.15,715,583,1.41,1,24,0.904,0.024
18+_Confectionery_Products,Crystals,402015,1.43,1891,213,-0.22,1,23,0.877,0.023
18+_Confectionery_Products,CHOCO STORY,383857,0.42,681,564,0.0,1,23,0.8859999999999999,0.022
18+_Confectionery_Products,Choc-Choc,257884,2.16,330,781,0.26,1,23,0.933,0.015
18+_Confectionery_Products,HOT FLOWERS,204286,15.36,187,1092,0.14,3,19,0.904,0.012
18+_Confectionery_Products,КРЕАТИВНЫЕ ПОДАРКИ,200664,12.33,392,512,-0.01,1,25,0.952,0.012
18+_Confectionery_Products,KobiArti,183415,0.0,113,1623,0.0,1,15,0.858,0.011
18+_Confectionery_Products,Лаборатория Счастья,157835,-0.73,468,337,0.12,1,24,0.938,0.009
18+_Confectionery_Products,Чайбокс,131463,-0.41,266,494,-0.25,1,23,0.91,0.008
18+_Confectionery_Products,Эролайф,121370,4.55,231,525,-0.02,3,22,0.836,0.0069999999999999
18+_Confectionery_Products,Prod.Art,120588,4.52,287,420,0.17,1,11,0.941,0.0069999999999999
18+_Confectionery_Products,Chokocat,115222,-0.51,213,541,0.04,1,23,0.925,0.0069999999999999
18+_Confectionery_Products,CHOCO SFERA,99937,0.0,166,602,0.0,1,18,0.88,0.006
18+_Confectionery_Products,Delicert,81896,-0.68,143,573,0.01,1,20,0.916,0.005
18+_Confectionery_Products,Lenco,46703,-0.34,130,359,0.07,3,18,0.923,0.003
18+_Confectionery_Products,Шоко.ru,38320,0.0,73,525,0.0,1,15,0.986,0.002
18+_Confectionery_Products,Sweet Bomb,31561,0.0,80,395,0.0,1,16,0.85,0.002
18+_Confectionery_Products,АйМикс,26324,6.17,40,658,0.08,6,14,0.925,0.002
18+_Confectionery_Products,ArtCaramel,26053,0.0,73,357,0.0,1,16,0.877,0.002
18+_Confectionery_Products,YESforLOV,24527,0.0,41,598,0.0,1,11,0.805,0.001
18+_Confectionery_Products,Rubiscookies,23296,-0.39,61,382,0.34,1,13,0.967,0.001
18+_Confectionery_Products,Diblong,20005,-0.57,47,426,-0.43,2,11,0.894,0.001
18+_Confectionery_Products,Романтик,15776,0.0,16,986,0.0,1,7,0.875,0.001
18+_Confectionery_Products,DREAMBOX,14560,0.0,36,404,0.0,1,10,0.944,0.001
18+_Confectionery_Products,SHOKOLIFE,13198,37.59,45,293,-0.14,1,13,0.867,0.001
18+_Confectionery_Products,IMPIRANTE,12475,0.0,29,430,0.0,1,9,0.828,0.001
18+_Confectionery_Products,COOTASKS,12333,-0.73,25,493,-0.12,1,8,0.88,0.001
18+_Confectionery_Products,ФИЛОСОФИЯ ШОКОЛАДА,10805,0.0,11,982,0.0,1,7,0.909,0.001
18+_Confectionery_Products,Вкусная помощь,10426,0.06,21,496,0.57,1,8,0.952,0.001
18+_Confectionery_Products,Sosuчki,10107,-0.1,17,595,-0.26,4,6,0.8240000000000001,0.001
18+_Confectionery_Products,Frade,10046,0.01,20,502,-0.49,1,8,0.85,0.001
18+_Confectionery_Products,Lollisland,9853,-0.59,20,493,0.22,1,9,0.75,0.001
18+_Confectionery_Products,Уральский леденец,9475,-0.62,18,526,0.93,2,10,0.944,0.001
18+_Confectionery_Products,ШОКОЛАДЪ ИЗ ПИТЕРА,7608,-0.3,12,634,0.05,1,7,0.917,0.0
18+_Confectionery_Products,У Фимы,7204,0.0,7,1029,0.0,1,3,1.0,0.0
18+_Confectionery_Products,Secret play,6859,0.0,18,381,0.0,1,8,0.944,0.0
18+_Confectionery_Products,Chocolate mood,6433,-0.59,10,643,-0.01,1,4,1.0,0.0
18+_Confectionery_Products,Мастерская подарков Колбасовой Катерины,5301,0.0,2,2651,0.0,1,2,1.0,0.0
18+_Confectionery_Products,Русконфета,5144,-0.01,8,643,0.24,1,3,0.875,0.0
18+_Confectionery_Products,Фабрика счастья,4921,-0.9,20,246,0.12,1,11,1.0,0.0
18+_Confectionery_Products,Старые времена,3995,0.0,5,799,0.0,1,4,0.8,0.0
18+_Confectionery_Products,Сибирский лес,3126,-0.71,19,165,-0.75,1,8,1.0,0.0
18+_Confectionery_Products,Рот Фронт,2812,0.0,9,312,0.0,1,7,0.778,0.0
18+_Confectionery_Products,Страна Леденцов,2691,-0.93,9,299,-0.13,1,7,1.0,0.0
18+_Confectionery_Products,Dekor.torta,2625,-0.89,5,525,0.12,1,5,1.0,0.0
18+_Confectionery_Products,Mixelite,2556,0.0,3,852,0.0,1,3,0.667,0.0
18+_Confectionery_Products,AzziMed,2202,-0.62,3,734,0.0,1,3,1.0,0.0
18+_Confectionery_Products,Praline лавка сладостей,2000,-0.64,2,1000,0.44,1,2,1.0,0.0
18+_Confectionery_Products,Candy Girl,1990,-0.61,2,995,2.09,1,2,1.0,0.0
18+_Confectionery_Products,Звездный сюрприз,1930,0.96,8,241,-0.76,1,2,0.625,0.0
18+_Confectionery_Products,Aria,1865,0.0,4,466,0.0,1,4,0.25,0.0
18+_Confectionery_Products,48 hours gold,1709,0.0,1,1709,0.0,1,1,1.0,0.0
18+_Confectionery_Products,НетНеСлипнется,918,0.0,1,918,0.0,1,1,1.0,0.0
18+_Confectionery_Products,D,870,0.0,1,870,0.0,1,1,1.0,0.0
18+_Confectionery_Products,Miss I Love you,770,-0.16,1,770,-0.16,1,1,1.0,0.0
18+_Confectionery_Products,ТОЧКА ЛЮБВИ,672,0.0,2,336,0.0,2,2,1.0,0.0
18+_Confectionery_Products,LenziMystery,610,-0.76,1,610,-0.05,1,1,1.0,0.0
18+_Confectionery_Products,Huanggang Lazhi,363,-0.68,1,363,0.3,1,1,1.0,0.0
"Accessories,_╨бomponents_for_Household_Lighting",Бренд отсутствует,66353122,0.0,74942,885,0.0,1733,22,0.882,0.265
"Accessories,_╨бomponents_for_Household_Lighting",Ecola,11809559,0.0,18269,646,0.0,42,22,0.908,0.047
"Accessories,_╨бomponents_for_Household_Lighting",Litewell,11230911,0.0,5640,1991,0.0,3,17,0.918,0.045
"Accessories,_╨бomponents_for_Household_Lighting",Feron,9304746,0.0,11129,836,0.0,45,19,0.898,0.037
"Accessories,_╨бomponents_for_Household_Lighting",Arlight,8116531,0.0,2354,3448,0.0,40,20,0.904,0.032
"Accessories,_╨бomponents_for_Household_Lighting",Eleganz,7816439,0.0,10474,746,0.0,13,19,0.9,0.031
"Accessories,_╨бomponents_for_Household_Lighting",TopDecor,4848971,0.0,12164,399,0.0,2,20,0.88,0.019
"Accessories,_╨бomponents_for_Household_Lighting",DLED,4013377,0.0,8610,466,0.0,12,23,0.906,0.016
"Accessories,_╨бomponents_for_Household_Lighting",MEAN WELL,3835795,0.0,1563,2454,0.0,24,19,0.914,0.015
"Accessories,_╨бomponents_for_Household_Lighting",Hongwei,3315805,0.0,1004,3303,0.0,3,18,0.895,0.013
"Accessories,_╨бomponents_for_Household_Lighting",ПрофиБаня,3272022,0.0,1693,1933,0.0,1,18,0.938,0.013
"Accessories,_╨бomponents_for_Household_Lighting",General Lighting Systems,2626727,0.0,3020,870,0.0,38,18,0.899,0.01
"Accessories,_╨бomponents_for_Household_Lighting",MEGALIGHT RUS,2468530,0.0,2262,1091,0.0,2,19,0.852,0.01
"Accessories,_╨бomponents_for_Household_Lighting",PRIME LED,2442731,0.0,1257,1943,0.0,1,18,0.918,0.01
"Accessories,_╨бomponents_for_Household_Lighting",IKEA,2393657,0.0,1108,2160,0.0,45,20,0.833,0.01
"Accessories,_╨бomponents_for_Household_Lighting",Lederia,2385462,0.0,3340,714,0.0,1,18,0.911,0.01
"Accessories,_╨бomponents_for_Household_Lighting",ЭРА,2236780,0.0,3622,618,0.0,34,19,0.871,0.009
"Accessories,_╨бomponents_for_Household_Lighting",Piton Power,2191430,0.0,1266,1731,0.0,3,18,0.903,0.009
"Accessories,_╨бomponents_for_Household_Lighting",OGNImo,2149889,0.0,933,2304,0.0,1,17,0.906,0.009
"Accessories,_╨бomponents_for_Household_Lighting",Whole-Market,1999141,0.0,2280,877,0.0,1,18,0.799,0.008
"Accessories,_╨бomponents_for_Household_Lighting",Vitaluce,1991773,0.0,3542,562,0.0,4,19,0.706,0.008
"Accessories,_╨бomponents_for_Household_Lighting",LEDLINE,1967883,0.0,2170,907,0.0,1,18,0.925,0.008
"Accessories,_╨бomponents_for_Household_Lighting",Lumissimo,1928720,0.0,2993,644,0.0,1,18,0.89,0.008
"Accessories,_╨бomponents_for_Household_Lighting",VeroMaks,1912662,0.0,1596,1198,0.0,2,20,0.915,0.008
"Accessories,_╨бomponents_for_Household_Lighting",Mobicent,1871028,0.0,939,1993,0.0,6,19,0.852,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",ААБ,1861925,0.0,1206,1544,0.0,1,19,0.898,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",geniled,1829980,0.0,2471,741,0.0,2,19,0.898,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",Smart street,1640707,0.0,1350,1215,0.0,2,17,0.907,0.0069999999999999
"Accessories,_╨бomponents_for_Household_Lighting",Apeyron,1565485,0.0,2500,626,0.0,14,20,0.85,0.006
"Accessories,_╨бomponents_for_Household_Lighting",21 век свет,1545634,0.0,1555,994,0.0,4,20,0.79,0.006
"Accessories,_╨бomponents_for_Household_Lighting",Пермский свет,1510748,0.0,603,2505,0.0,2,18,0.8109999999999999,0.006
"Accessories,_╨бomponents_for_Household_Lighting",SeaStar,1506450,0.0,985,1529,0.0,2,19,0.929,0.006
"Accessories,_╨бomponents_for_Household_Lighting",REDIGLE,1397956,0.0,1004,1392,0.0,8,18,0.913,0.006
"Accessories,_╨бomponents_for_Household_Lighting",Аргос,1347745,0.0,762,1769,0.0,6,17,0.932,0.005
"Accessories,_╨бomponents_for_Household_Lighting",SWG,1340038,0.0,536,2500,0.0,19,16,0.843,0.005
"Accessories,_╨бomponents_for_Household_Lighting",Hill & Mill,1338704,0.0,1069,1252,0.0,4,18,0.79,0.005
"Accessories,_╨бomponents_for_Household_Lighting",Uniel,1318765,0.0,1728,763,0.0,13,21,0.89,0.005
"Accessories,_╨бomponents_for_Household_Lighting",Luminor,1290212,0.0,2089,618,0.0,2,18,0.9,0.005
"Accessories,_╨бomponents_for_Household_Lighting",AV store,1267910,0.0,619,2048,0.0,1,17,0.8690000000000001,0.005
"Accessories,_╨бomponents_for_Household_Lighting",TDM Electric,1252714,0.0,1463,856,0.0,20,18,0.846,0.005
"Accessories,_╨бomponents_for_Household_Lighting",LEDS POWER,1183120,0.0,417,2837,0.0,7,18,0.883,0.005
"Accessories,_╨бomponents_for_Household_Lighting",LEADER POWER,1099753,0.0,510,2156,0.0,1,17,0.943,0.004
"Accessories,_╨бomponents_for_Household_Lighting",DIGSLED,1070863,0.0,1169,916,0.0,2,20,0.932,0.004
"Accessories,_╨бomponents_for_Household_Lighting",SmartBuy,1069809,0.0,1646,650,0.0,5,19,0.917,0.004
"Accessories,_╨бomponents_for_Household_Lighting",СИМВОЛ СВЕТА,1031776,0.0,902,1144,0.0,3,18,0.809,0.004
"Accessories,_╨бomponents_for_Household_Lighting",РосЛедс,1018276,0.0,877,1161,0.0,1,18,0.878,0.004
"Accessories,_╨бomponents_for_Household_Lighting",Delta-Svet,993525,0.0,1710,581,0.0,2,18,0.938,0.004
"Accessories,_╨бomponents_for_Household_Lighting",DONE,986470,0.0,1324,745,0.0,2,18,0.846,0.004
"Accessories,_╨бomponents_for_Household_Lighting",GS STAR,978468,0.0,656,1492,0.0,1,17,0.925,0.004
"Accessories,_╨бomponents_for_Household_Lighting",LEDsPro,976009,0.0,744,1312,0.0,1,18,0.942,0.004
"Accessories,_╨бomponents_for_Household_Lighting",Kstati Tochka,949896,0.0,1527,622,0.0,2,17,0.87,0.004
"Accessories,_╨бomponents_for_Household_Lighting",RAZSVET,948249,0.0,291,3259,0.0,1,15,0.7490000000000001,0.004
"Accessories,_╨бomponents_for_Household_Lighting",meltbox,892361,0.0,561,1591,0.0,6,17,0.92,0.004
"Accessories,_╨бomponents_for_Household_Lighting",Свет,863711,0.0,1086,795,0.0,6,15,0.906,0.003
"Accessories,_╨бomponents_for_Household_Lighting",REXPO,833647,0.0,46,18123,0.0,1,8,0.826,0.003
"Accessories,_╨бomponents_for_Household_Lighting",орбита.team,822147,0.0,781,1053,0.0,1,17,0.926,0.003
"Accessories,_╨бomponents_for_Household_Lighting",MariLuz,811580,0.0,461,1760,0.0,3,18,0.818,0.003
"Accessories,_╨бomponents_for_Household_Lighting",ICLED,792295,0.0,967,819,0.0,3,18,0.873,0.003
"Accessories,_╨бomponents_for_Household_Lighting",LJHI,765705,0.0,28,27347,0.0,6,9,0.821,0.003
"Accessories,_╨бomponents_for_Household_Lighting",Arte Lamp,751150,0.0,669,1123,0.0,14,17,0.897,0.003
"Accessories,_╨бomponents_for_Household_Lighting",naBrevno,700204,0.0,674,1039,0.0,1,15,0.858,0.003
"Accessories,_╨бomponents_for_Household_Lighting",Лаборатория света 33 Идеи,692983,0.0,447,1550,0.0,7,17,0.7070000000000001,0.003
"Accessories,_╨бomponents_for_Household_Lighting",WiseBuys,682889,0.0,2103,325,0.0,1,19,0.89,0.003
"Accessories,_╨бomponents_for_Household_Lighting",LKK,669136,0.0,1424,470,0.0,3,19,0.941,0.003
"Accessories,_╨бomponents_for_Household_Lighting",MAESTROLIGHT,658714,0.0,618,1066,0.0,1,18,0.8109999999999999,0.003
"Accessories,_╨бomponents_for_Household_Lighting",РОССВЕТ,648557,0.0,366,1772,0.0,2,18,0.6970000000000001,0.003
"Accessories,_╨бomponents_for_Household_Lighting",Maytoni,643475,0.0,758,849,0.0,8,17,0.888,0.003
"Accessories,_╨бomponents_for_Household_Lighting",Colosseo,634615,0.0,259,2450,0.0,2,16,0.826,0.003
"Accessories,_╨бomponents_for_Household_Lighting",Мультисвет,630222,0.0,852,740,0.0,2,18,0.7829999999999999,0.003
"Accessories,_╨бomponents_for_Household_Lighting",ЭпикТех,613711,0.0,1072,572,0.0,1,19,0.889,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Silicone Case,597763,0.0,1862,321,0.0,1,19,0.882,0.002
"Accessories,_╨бomponents_for_Household_Lighting",STARDUST,597090,0.0,2106,284,0.0,1,20,0.898,0.002
"Accessories,_╨бomponents_for_Household_Lighting",DIANQI,596104,0.0,3162,189,0.0,3,19,0.894,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Ritter,573567,0.0,1447,396,0.0,6,19,0.831,0.002
"Accessories,_╨бomponents_for_Household_Lighting",LTC,573372,0.0,276,2077,0.0,1,16,0.913,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Jupiter Lighting,567352,0.0,411,1380,0.0,1,18,0.8640000000000001,0.002
"Accessories,_╨бomponents_for_Household_Lighting",радиоэлектроника,566297,0.0,1295,437,0.0,2,20,0.897,0.002
"Accessories,_╨бomponents_for_Household_Lighting",KGP,542313,0.0,953,569,0.0,2,18,0.888,0.002
"Accessories,_╨бomponents_for_Household_Lighting",GiirLight,540962,0.0,669,809,0.0,2,19,0.873,0.002
"Accessories,_╨бomponents_for_Household_Lighting",JULY,537353,0.0,652,824,0.0,1,19,0.87,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Gala Premium Led,513409,0.0,601,854,0.0,2,18,0.8370000000000001,0.002
"Accessories,_╨бomponents_for_Household_Lighting",IEK,508163,0.0,497,1022,0.0,20,17,0.918,0.002
"Accessories,_╨бomponents_for_Household_Lighting",exclusivalux,506102,0.0,125,4049,0.0,1,12,0.728,0.002
"Accessories,_╨бomponents_for_Household_Lighting",SOTALIGHT,481431,0.0,769,626,0.0,2,20,0.8440000000000001,0.002
"Accessories,_╨бomponents_for_Household_Lighting",ASPEKT LED,478140,0.0,401,1192,0.0,1,17,0.9,0.002
"Accessories,_╨бomponents_for_Household_Lighting",ЛАМПА,473316,0.0,414,1143,0.0,1,17,0.901,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Bydzov,447802,0.0,401,1117,0.0,1,20,0.825,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Абажур-мск,440820,0.0,166,2656,0.0,2,14,0.747,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Theasmart,439764,0.0,133,3306,0.0,1,13,0.79,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Gauss,438002,0.0,796,550,0.0,16,19,0.915,0.002
"Accessories,_╨бomponents_for_Household_Lighting",Светыч,410967,0.0,192,2140,0.0,1,17,0.6509999999999999,0.002
"Accessories,_╨бomponents_for_Household_Lighting",A-Z Sales,407296,0.0,898,454,0.0,1,18,0.922,0.002
"Accessories,_╨бomponents_for_Household_Lighting",REXANT,384324,0.0,250,1537,0.0,6,17,0.908,0.002
"Accessories,_╨бomponents_for_Household_Lighting",РОСЛАЙТ,357681,0.0,470,761,0.0,1,17,0.723,0.001
"Accessories,_╨бomponents_for_Household_Lighting",ESTHETE,349781,0.0,287,1219,0.0,1,16,0.93,0.001
"Accessories,_╨бomponents_for_Household_Lighting",Jazzway,348713,0.0,291,1198,0.0,26,16,0.852,0.001
"Accessories,_╨бomponents_for_Household_Lighting",Мэк Электрика,348297,0.0,418,833,0.0,1,18,0.892,0.001
"Accessories,_╨бomponents_for_Household_Lighting",OVERLIGHT,341765,0.0,222,1539,0.0,6,15,0.887,0.001
"Accessories,_╨бomponents_for_Household_Lighting",RORI,334539,0.0,168,1991,0.0,1,16,0.911,0.001
"Accessories,_╨бomponents_for_Household_Lighting",LEDANN,330561,0.0,269,1229,0.0,2,17,0.915,0.001
Accessories_for_Disabled_People,Бренд отсутствует,207536373,5.53,136258,1523,-0.06,4675,30,0.7929999999999999,0.201
Accessories_for_Disabled_People,Barry,147605449,5.61,43879,3364,0.03,75,29,0.884,0.143
Accessories_for_Disabled_People,JAMILA,90300730,4.86,35706,2529,0.11,16,27,0.917,0.087
Accessories_for_Disabled_People,DUNYA SHOP,72963999,6.56,28705,2542,0.04,20,27,0.92,0.071
Accessories_for_Disabled_People,Мега-Оптим,40304965,4.77,9116,4421,-0.08,43,26,0.8440000000000001,0.039
Accessories_for_Disabled_People,Ortonica,40097755,2.38,7908,5071,0.38,26,25,0.8440000000000001,0.039
Accessories_for_Disabled_People,BELBERG,32908479,2.48,9460,3479,0.11,18,28,0.88,0.032
Accessories_for_Disabled_People,kanner,23060220,12.27,10828,2130,-0.07,2,28,0.931,0.022
Accessories_for_Disabled_People,DENART,18239354,3.96,20293,899,0.17,12,25,0.897,0.018
Accessories_for_Disabled_People,USPEH,14116344,7.76,6496,2173,-0.02,5,25,0.857,0.0139999999999999
Accessories_for_Disabled_People,TamiraT,11682664,6.95,4714,2478,-0.16,8,25,0.912,0.011
Accessories_for_Disabled_People,Комфорт-строй,11022818,0.0,2161,5101,0.0,6,19,0.8340000000000001,0.011
Accessories_for_Disabled_People,Leomax,10860642,0.85,4454,2438,0.02,1,26,0.908,0.011
Accessories_for_Disabled_People,Ivalga,10337639,5.25,6426,1609,-0.34,5,27,0.847,0.01
Accessories_for_Disabled_People,Brabix,10323322,2.53,4440,2325,-0.02,4,25,0.932,0.01
Accessories_for_Disabled_People,NESHI,10153334,0.0,4268,2379,0.0,2,24,0.923,0.01
Accessories_for_Disabled_People,BIOFORCE,9955997,349.22,1479,6732,0.18,4,26,0.8590000000000001,0.01
Accessories_for_Disabled_People,Sale Boom,9784842,3.43,2306,4243,-0.03,4,24,0.865,0.009
Accessories_for_Disabled_People,POBELLi,9515050,3.54,789,12060,0.12,1,24,0.901,0.009
Accessories_for_Disabled_People,МедВанна,8914435,3.2,5821,1531,-0.07,8,25,0.8859999999999999,0.009
Accessories_for_Disabled_People,4seasonsmarket,7916755,77.02,3443,2299,0.04,2,25,0.907,0.008
Accessories_for_Disabled_People,Mr. Procto,7421512,4.59,6243,1189,-0.13,8,27,0.892,0.0069999999999999
Accessories_for_Disabled_People,MEGAPLANE,6914328,4.41,1761,3926,0.23,7,26,0.847,0.0069999999999999
Accessories_for_Disabled_People,SANTRADE,6595136,3.53,986,6689,-0.1,7,27,0.8390000000000001,0.006
Accessories_for_Disabled_People,Doret,6351129,3.88,1992,3188,0.07,2,24,0.865,0.006
Accessories_for_Disabled_People,ИНВА,6089963,5.29,1031,5907,0.22,2,23,0.8540000000000001,0.006
Accessories_for_Disabled_People,KOINHOME,5695112,0.0,2877,1980,0.0,1,24,0.848,0.006
Accessories_for_Disabled_People,МИЗТ,5262589,4.61,5896,893,0.36,3,23,0.908,0.005
Accessories_for_Disabled_People,MET,4882022,3.0,1312,3721,0.01,6,23,0.863,0.005
Accessories_for_Disabled_People,PABK,4733919,3.98,9269,511,0.28,8,27,0.8959999999999999,0.005
Accessories_for_Disabled_People,REMETEX GmbH,4615184,5.14,118,39112,0.2,1,21,0.8809999999999999,0.004
Accessories_for_Disabled_People,Bradex,4511215,2.05,852,5295,0.17,9,23,0.7959999999999999,0.004
Accessories_for_Disabled_People,КОС,4447138,26.31,1711,2599,0.44,1,23,0.856,0.004
Accessories_for_Disabled_People,Primanova,4266834,3.52,1503,2839,0.47,19,26,0.855,0.004
Accessories_for_Disabled_People,Армед,3733926,6.41,538,6940,-0.01,8,25,0.87,0.004
Accessories_for_Disabled_People,UU&T,3697501,58.0,771,4796,0.22,12,25,0.83,0.004
Accessories_for_Disabled_People,YICITY,3611888,0.0,3810,948,0.0,10,18,0.893,0.003
Accessories_for_Disabled_People,Medmil,3549341,7.58,7083,501,0.05,2,22,0.954,0.003
Accessories_for_Disabled_People,BESIDE,3403550,8.14,2110,1613,0.26,7,26,0.883,0.003
Accessories_for_Disabled_People,ДИНОКС,3335127,4.62,464,7188,0.08,2,23,0.853,0.003
Accessories_for_Disabled_People,Homium Уют и тепло в каждый дом,3234649,5.16,1288,2511,0.0,6,27,0.915,0.003
Accessories_for_Disabled_People,КОС,3040799,3.34,1721,1767,-0.08,1,23,0.8290000000000001,0.003
Accessories_for_Disabled_People,DOM DAY,2958478,0.55,1263,2342,0.11,2,23,0.887,0.003
Accessories_for_Disabled_People,LONDVI,2946318,7.25,2630,1120,0.19,1,23,0.932,0.003
Accessories_for_Disabled_People,Kimsa,2885617,0.0,3145,918,0.0,3,18,0.929,0.003
Accessories_for_Disabled_People,ОЛИМП,2573961,11.68,261,9862,0.6,1,22,0.893,0.002
Accessories_for_Disabled_People,ЮКИ,2429453,4.03,484,5020,-0.37,3,22,0.773,0.002
Accessories_for_Disabled_People,SILVEL,2406247,0.0,459,5242,0.0,5,17,0.8240000000000001,0.002
Accessories_for_Disabled_People,Megaholl,2341850,434.29,1273,1840,-0.32,2,22,0.938,0.002
Accessories_for_Disabled_People,Heiler,2310334,2.97,351,6582,-0.22,5,22,0.858,0.002
Accessories_for_Disabled_People,GREEN LABEL,2302382,1.31,841,2738,-0.11,1,24,0.888,0.002
Accessories_for_Disabled_People,FineMini,2176586,5.88,1095,1988,-0.06,3,23,0.913,0.002
Accessories_for_Disabled_People,URM,2109366,16.15,902,2339,0.06,2,24,0.895,0.002
Accessories_for_Disabled_People,AORTIS,2083440,2.62,124,16802,2.15,2,18,0.645,0.002
Accessories_for_Disabled_People,Dayang Medical,2061984,5.56,459,4492,0.32,2,24,0.8340000000000001,0.002
Accessories_for_Disabled_People,НеоМед,1998537,0.0,675,2961,0.0,2,18,0.936,0.002
Accessories_for_Disabled_People,ИП Кузин Р.С.,1988247,9.23,447,4448,0.49,5,22,0.835,0.002
Accessories_for_Disabled_People,LettBrin,1897382,3.42,475,3994,-0.18,2,25,0.84,0.002
Accessories_for_Disabled_People,AkvaHit,1859617,0.91,1652,1126,0.07,5,24,0.8340000000000001,0.002
Accessories_for_Disabled_People,dr.Wagner,1857702,14.28,1152,1613,-0.83,6,19,0.826,0.002
Accessories_for_Disabled_People,Kemei,1852605,38.73,800,2316,1.14,43,22,0.718,0.002
Accessories_for_Disabled_People,SVEDS,1846679,7.36,359,5144,0.3,2,22,0.872,0.002
Accessories_for_Disabled_People,Аортис,1804641,4.49,1541,1171,-0.02,4,23,0.8809999999999999,0.002
Accessories_for_Disabled_People,medicity2022,1770623,2.26,1130,1567,-0.03,5,22,0.88,0.002
Accessories_for_Disabled_People,БПОВЦ,1760209,0.0,72,24447,0.0,2,16,0.875,0.002
Accessories_for_Disabled_People,HERAI,1746056,4.2,804,2172,0.23,1,23,0.8809999999999999,0.002
Accessories_for_Disabled_People,MYDAYS OUTDOOR,1736694,131.1,1053,1649,0.25,1,24,0.8809999999999999,0.002
Accessories_for_Disabled_People,Andromed,1732621,0.0,1383,1253,0.0,1,21,0.85,0.002
Accessories_for_Disabled_People,Valentine International,1707827,4.55,319,5354,0.53,6,27,0.8059999999999999,0.002
Accessories_for_Disabled_People,Comfore,1632242,0.0,748,2182,0.0,1,20,0.929,0.002
Accessories_for_Disabled_People,21vek,1601801,-0.09,482,3323,0.06,10,25,0.774,0.002
Accessories_for_Disabled_People,Joshua,1583807,23.89,934,1696,-0.25,6,22,0.923,0.002
Accessories_for_Disabled_People,Resolve,1575066,0.0,295,5339,0.0,5,17,0.82,0.002
Accessories_for_Disabled_People,Wector,1557995,4.51,295,5281,0.06,1,21,0.7829999999999999,0.002
Accessories_for_Disabled_People,ComfyPaws,1554199,0.0,171,9089,0.0,4,16,0.8420000000000001,0.002
Accessories_for_Disabled_People,Optmobilion,1542233,5.72,774,1993,-0.03,5,24,0.88,0.001
Accessories_for_Disabled_People,BRIMIX,1498793,2.74,418,3586,0.18,10,23,0.885,0.001
Accessories_for_Disabled_People,Stolz,1455942,0.0,3132,465,0.0,6,20,0.79,0.001
Accessories_for_Disabled_People,ANMUKANG,1438299,11.39,895,1607,-0.56,16,19,0.733,0.001
Accessories_for_Disabled_People,ORANGE HOUSE,1350842,1.57,1163,1162,0.03,5,23,0.922,0.001
Accessories_for_Disabled_People,Med-Mos,1300597,1.38,329,3953,-0.06,9,24,0.857,0.001
Accessories_for_Disabled_People,MedicoPRO,1280846,0.0,881,1454,0.0,2,18,0.884,0.001
Accessories_for_Disabled_People,Birdhouse,1249782,0.0,280,4464,0.0,2,16,0.775,0.001
Accessories_for_Disabled_People,Титан,1249433,1.92,596,2096,0.28,2,24,0.856,0.001
Accessories_for_Disabled_People,Dirox,1166905,44.23,593,1968,-0.08,1,20,0.902,0.001
Accessories_for_Disabled_People,Potato,1162402,32.93,1126,1032,-0.16,6,23,0.9,0.001
Accessories_for_Disabled_People,Доступная Страна,1141181,0.02,275,4150,0.45,3,22,0.8440000000000001,0.001
Accessories_for_Disabled_People,BOOM,1137762,40.68,792,1437,-0.32,4,22,0.879,0.001
